taxonKey,scientificName,acceptedTaxonKey,acceptedScientificName,taxonRank,taxonomicStatus,domain,cnamedomain,superkingdom,cnamesuperkingdom,kingdom,cnameKingdom,kingdomKey,subkingdom,cnamesubkingdom,superphylum,cnamesuperphylum,phylum,cnamePhylum,phylumKey,subphylum,cnmaesubphylum,superclass,cnamesuperclass,class,cnameClass,classKey,subclass,cnamesubclass,superorder,cnamesuperorder,order,cnameOrder,orderKey,suborder,cnamesuborder,superfamily,cnamesuperfamily,family,cnameFamily,familyKey,subfamily,cnamesubfamily,supertribe,cnamesupertribe,tribe,cnametribe,subtribe,cnamesubtribe,genus,cnameGenus,genusKey,subgenus,cnamesubgenus,species,cnameSpecies,speciesKey,subspecies,cnmaesubspecies,variety,cnamevariety,iucnRedListCategory,statuskepunahan
4393439,"Nesogaster amoenus (Stal, 1855)",4393439,"Nesogaster amoenus (Stal, 1855)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Nesogaster,Lelawi kecil,1419835.0,,,Nesogaster amoenus,Lelawi kecil,4393439.0,,,,,NE,
4393447,"Nesogaster aculeatus (de Bormans, 1900)",4393447,"Nesogaster aculeatus (de Bormans, 1900)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Nesogaster,Lelawi kecil,1419835.0,,,Nesogaster aculeatus,Lelawi kecil,4393447.0,,,,,NE,
1419835,"Nesogaster Verhoeff, 1902",1419835,"Nesogaster Verhoeff, 1902",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Nesogaster,Lelawi kecil,1419835.0,,,,,,,,,,,
4393909,"Irdex nitidipennis (de Bormans, 1894)",4393909,"Irdex nitidipennis (de Bormans, 1894)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Irdex,Lelawi kecil,1419848.0,,,Irdex nitidipennis,Lelawi kecil,4393909.0,,,,,NE,
1419850,"Labia Leach, 1815",1419850,"Labia Leach, 1815",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Labia,Lelawi kecil,1419850.0,,,,,,,,,,,
1419864,"Paralabella curvicauda (Motschulsky, 1863)",1419864,"Paralabella curvicauda (Motschulsky, 1863)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Paralabella,Lelawi kecil,1419863.0,,,Paralabella curvicauda,Lelawi kecil,1419864.0,,,,,NE,
10391263,BOLD:AAL8108,10391263,BOLD:AAL8108,SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Marava,Lelawi kecil,1419865.0,,,Marava arachidis,Lelawi tulang-rumah,1419867.0,,,,,,
4393861,"Spongovostox mucronatus (Stal, 1860)",4393861,"Spongovostox mucronatus (Stal, 1860)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Spongovostox,Lelawi kecil,3264075.0,,,Spongovostox mucronatus,Lelawi kecil,4393861.0,,,,,NE,
4393388,"Pseudovostox fasciatus (de Bormans, 1894)",4393388,"Pseudovostox fasciatus (de Bormans, 1894)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Pseudovostox,Lelawi kecil,4393383.0,,,Pseudovostox fasciatus,Lelawi kecil,4393388.0,,,,,NE,
4393383,"Pseudovostox Borelli, 1926",4393383,"Pseudovostox Borelli, 1926",GENUS,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Pseudovostox,Lelawi kecil,4393383.0,,,,,,,,,,,
4393469,"Auchenomus javanus (de Bormans, 1883)",4393469,"Auchenomus javanus (de Bormans, 1883)",SPECIES,ACCEPTED,,,,,Animalia,Hewan,1,,,,,Arthropoda,Hewan berbuk-buku,54,,,,,Insecta,Serangga,216,,,,,Dermaptera,Lelawi,1224,,,,,Spongiphoridae,Lelawi kecil,2795.0,,,,,,,,,Auchenomus,Lelawi kecil,4393465.0,,,Auchenomus javanus,Lelawi kecil,4393469.0,,,,,NE,
